fuente_id,titulo,autor_institucion,fecha_publicacion,tipo_fuente,nivel_evidencia,tema,url,hecho_minimo_utilizable,uso_en_el_suplemento,limite_inferencia,fecha_consulta
F016,"Nueva metodología de la Hoja de Balance de Alimentos","Instituto Nacional de Estadística de Guatemala",2025-12-18,"fuente primaria estadística institucional","alta para disponibilidad alimentaria agregada","seguridad alimentaria; datos","https://www.ine.gob.gt/2025/12/18/el-ine-presenta-nueva-metodologia-de-la-hba/","La Hoja de Balance de Alimentos integra producción, importaciones, exportaciones y otros usos para estimar disponibilidad física y nutricional.","Definir indicadores de seguridad alimentaria sin usar solo producción de caña como sustituto.","No identifica por sí sola causalidad, distribución entre hogares, acceso económico ni efectos locales de uso de suelo.",2026-08-24
F017,"Comunicación institucional sobre capacidad productiva y sostenibilidad de movilidadVERDE","Ministerio de Energía y Minas de Guatemala",2020-12-01,"fuente primaria institucional de un programa","media para identificar afirmaciones que requieren réplica","producción nacional; seguridad alimentaria","https://mem.gob.gt/movilidadverde-evidencia-cientificamente-beneficios-del-uso-del-etanol-en-la-gasolina/","El MEM afirmó que la capacidad instalada nacional sería suficiente para una mezcla de 10 % y que no requeriría ampliar área cultivable.","Tratar como hipótesis institucional a contrastar con producción, exportaciones comprometidas, materia prima, área, agua y costos de oportunidad.","La página no aporta un conjunto de datos replicable que demuestre ausencia de efectos; capacidad instalada no equivale a oferta disponible.",2026-08-24
F018,"Etanol por decreto: la factura social de una imposición comercial","Silvia Patricia Villatoro y Juan José Narciso Chúa; Plaza Pública",2026-07-28,"evidencia crítica secundaria aportada por la usuaria","media para identificar preguntas, actores y mecanismos; no es fuente causal primaria","gobernanza; conflictividad; procedencia; distribución","https://plazapublica.com.gt/ensayo/ensayo/etanol-por-decreto-la-factura-social-de-una-imposicion-comercial/","El ensayo plantea preguntas sobre legitimidad, comunicación, fiscalización de precios, productores locales, importaciones y capacidad institucional.","Convertir preguntas críticas en indicadores y pruebas de sensibilidad sin copiar el ensayo ni usar sus conclusiones como coeficientes.","Es un ensayo interpretativo; sus afirmaciones causales requieren corroboración independiente.",2026-08-24
F019,"International Energy Data: motor gasoline consumption, Guatemala, annual","U.S. Energy Information Administration",2026-07-02,"fuente primaria estadística oficial","alta para energía anual y metadatos de serie","emisiones; energía; actualización","https://www.eia.gov/opendata/bulkfiles.php","La serie INTL.62-2-GTM-TJ.A registra consumo anual de gasolina de motor en Guatemala en terajulios y cubre 1980–2024 en la descarga consultada.","Actualizar la trayectoria abierta de energía y emisiones, separada de los controles reportados.","La serie abierta no coincide exactamente con el linaje agregado del manuscrito y no debe calibrarse para forzar coincidencia.",2026-08-24
F020,"National Weekly Ethanol Report","USDA Agricultural Marketing Service",2026-06-26,"fuente primaria estadística oficial","alta para la observación de mercado reportada","precios; comercio","https://www.ams.usda.gov/mnreports/ams_3616.pdf","El reporte semanal registra una referencia Illinois FOB-R de 1.82 USD por galón.","Construir una referencia FOB explícita para sensibilidades de costo.","FOB Illinois no es un precio entregado en Guatemala y no incluye flete, seguro, impuestos ni márgenes comparables.",2026-08-24
F021,"U.S. Gulf Coast conventional regular gasoline retail price","U.S. Energy Information Administration",2026-06-26,"fuente primaria estadística oficial","alta para observaciones diarias del mercado indicado","precios; combustibles","https://www.eia.gov/dnav/pet/hist/eer_epmru_pf4_rgc_dpgD.htm","Cinco observaciones diarias del 22 al 26 de junio de 2026 producen un promedio de 2.9664 USD por galón.","Construir una referencia contemporánea de gasolina para sensibilidades de costo.","El mercado y la condición comercial no son directamente comparables con FOB Illinois ni con un precio mayorista en Guatemala.",2026-08-24
F022,"MIP Guatemala 2013 reproducible, versión 1.0.0","Juan Alejandro Osorio",2026-08-24,"dataset y código reproducible","muy alta para matrices, vectores, controles y clasificación usados","matriz insumo-producto; economía","https://doi.org/10.5281/zenodo.22086008","El paquete publica matrices doméstica, importada y total, inversa de Leontief, productos y coeficientes primarios con controles de integridad.","Fijar la dependencia económica por versión, commit y huellas SHA-256.","La estructura productiva corresponde a 2013; no representa automáticamente tecnología, precios ni empleo de 2026.",2026-08-24
F023,"2006 IPCC Guidelines for National Greenhouse Gas Inventories, Volume 2, Chapter 3","Intergovernmental Panel on Climate Change",2006-01-01,"guía metodológica internacional primaria","alta para el factor por defecto de combustión móvil","emisiones; factor de emisión","https://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf","La guía reporta 69,300 kg CO2/TJ como factor por defecto para gasolina de motor.","Documentar el factor de 69.3 tCO2/TJ aplicado al CO2 de escape.","Es un valor por defecto; un factor nacional específico y documentado tendría prioridad en una actualización.",2026-08-24
F024,"Cuaderno privado del cálculo económico E5","autor omitido en rama pública",,"cuaderno computacional histórico aportado por el autor","muy alta para reconstruir el cálculo que alimentó el manuscrito","economía; E5; trazabilidad","archivo_privado_no_redistribuido; identificador:omitido_en_rama_publica","El cuaderno ejecutado usa una mezcla de 5%, produce r=1.528571%, suma Δx=3.166772 y un multiplicador de producción de 1.686962.","Fijar valores dorados y reconstruir públicamente el bloque desde la MIP v1.0.0 licenciada.","No se redistribuye por licencia pendiente; los parámetros de precios, participación de gasolina y abastecimiento doméstico carecen de fuente primaria dentro del cuaderno.",2026-09-03
F025,"Informe técnico privado del escenario E5","autor omitido en rama pública",,"informe técnico histórico aportado por el autor","alta para interpretar variables, unidades y alcance del cuaderno","economía; E5; interpretación","archivo_privado_no_redistribuido; identificador:omitido_en_rama_publica","El informe identifica 1.5286% como encarecimiento energético E5, 3.1668 como producción total y 1.8791 como resultado de P010.","Verificar la rotulación de las cifras trasladadas al manuscrito.","No se redistribuye por licencia pendiente y no respalda los valores sectoriales 0.80/0.50/0.30, el total 4.77 o el multiplicador 1.13.",2026-09-03
F026,"Implementación tardía de la Ley del Alcohol Carburante: efectos económico-ambientales en Guatemala (1986–2030)","Juan Alejandro Osorio; Silvia Patricia Villatoro; Noé Salguero",,"manuscrito en revisión aportado por el autor","muy alta para identificar las afirmaciones y ubicaciones que se reconcilian","manuscrito; economía; E5; E10; trazabilidad","archivo_local_no_redistribuido; identificador:omitido_en_rama_publica","La versión auditada declara el escenario E5 en la metodología, presenta Q4.77 millones en el abstract, el resumen y la tabla demand-pull, y Q4.75 millones en la discusión. Su identificador se omite en esta rama pública.","Anclar cada cifra reportada a una versión exacta del manuscrito sin redistribuir el DOCX.","Es un borrador no redistribuido; la paginación y el contenido pueden cambiar en revisiones posteriores y deben volver a registrarse en la auditoría local.",2026-09-03
F027,"Cuaderno privado principal de emisiones","autor no declarado en el artefacto",,"cuaderno computacional histórico recuperado de Google Drive","muy alta para recuperar el cálculo anual y sus salidas ejecutadas","emisiones; contrafactual; trazabilidad","archivo_privado_google_drive_no_redistribuido; identificador:omitido_en_rama_publica","Las salidas Plotly embebidas contienen las series anuales usadas por el cuaderno y permiten reconstruir 1986–2023 y verificar la proyección; el código usa 21.1 y 32.0 MJ/L, un factor de 69.3 tCO2/TJ y ajuste log-lineal con 2014–2023.","Recuperar y verificar la serie anual del contrafactual, sus parámetros y sus totales sin redistribuir el cuaderno.","La serie fue contrastada posteriormente con una copia recuperada del libro primario. Ni esa coincidencia ni el cuaderno establecen por sí solos la procedencia estadística o la licencia del libro.",2026-09-04
F028,"Cuaderno privado corroborante de emisiones","autor no declarado en el artefacto",,"copia corroborante de cuaderno computacional recuperada de Google Drive","alta como corroboración independiente de las salidas embebidas del cuaderno principal","emisiones; contrafactual; trazabilidad","archivo_privado_google_drive_no_redistribuido; identificador:omitido_en_rama_publica","La celda 0 y las celdas 3–17 conservan las mismas cuatro series Plotly recuperadas del cuaderno principal.","Corroborar por igualdad exacta las matrices anuales extraídas del cuaderno principal.","La celda 1 intenta mostrar un objeto aún no definido; las celdas posteriores a la 17 corresponden a una refactorización fallida con datos simulados. Esos segmentos se excluyen. La copia no se redistribuye ni se le atribuye una licencia no documentada.",2026-09-04
F029,"Copia privada del libro primario, hoja 1.CONSUMO FINAL","autor o institución no determinados",,"copia recuperada del libro primario referido por el cuaderno","muy alta para verificar el insumo computacional; procedencia estadística y licencia pendientes","emisiones; energía; insumo primario","archivo_externo_no_redistribuido; identificador:omitido_en_rama_publica","Contiene 38 filas continuas 1986–2023 y columnas No, año y BTU. Los 38 BTU, CO2 de referencia y volúmenes coinciden con la reconstrucción pública a 15 cifras significativas.","Verificar la reconstrucción anual, el ajuste log-lineal y los agregados desde una copia del insumo primario.","El libro no contiene URL, nota metodológica o licencia. Sus metadatos identificables se omiten y no bastan para atribución institucional o redistribución.",2026-09-04
F030,"Contrafactual del artículo recuperado, 1986–2023","Autores del suplemento",2026-09-03,"tabla derivada reproducible","alta para reproducir las series embebidas y verificada contra una copia del insumo primario","emisiones; contrafactual; datos derivados; trazabilidad","01_datos/insumos_publicables/contrafactual_articulo_recuperado_1986_2023.csv; sha256:e6a1fd25f0326f29a58869624ee574d604d75c51178ea6d44937070dddbf2d9f","La tabla contiene 38 observaciones recuperadas de las salidas Plotly, con BTU invertidos, CO2 de referencia y millones de galones; coincide 38/38 con la copia recuperada del libro primario a 15 cifras significativas.","Servir como entrada pública derivada del cálculo anual y permitir que las salidas ejecutadas vuelvan a calcularse y contrastarse con el Excel y los totales publicados.","Sigue siendo una reconstrucción de arrays de salida, no una copia del Excel. La tabla derivada se publica bajo CC BY 4.0; esa licencia no se extiende al libro ni a los cuadernos privados.",2026-09-04
